local oaci iata tipo denominacion coordenadas latitud longitud elev uom_elev ref distancia_ref direccion_ref condicion control region fir uso trafico sna concesionado provincia inhab
"CED Aeródromo MERCEDES 33°38'32""S  65°25'14""W -65,42051 -33,6422 515 Metros Villa Mercedes 3 NE PUBLICO NOCONTROL RANO SAMF Nacional NO NO SAN LUIS NO"
"CEJ Aeródromo LAS CEJAS/AGROALAS SRL 26°52'11""S  64°44'45""W -64,74583333 -26,86972222 346 Metros Las Cejas 2 NNO PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO TUCUMÁN NO"
"CFU Aeródromo CARHUE/FUMAGRO 37°12'53""S  62°46'50""W -62,78055556 -37,21472222 111 Metros Carhué 5 SO PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"CHA Aeródromo CHARATA 27°12'59""S  61°12'36""W -61,21011 -27,21639 92 Metros Charata 10 S PUBLICO NOCONTROL RANE SARR CIVIL Nacional NO NO CHACO NO"
"CHC Aeródromo CHAJARI/EA. LA CHOZA 30°32'20""S  58°17'34""W -58,29287 -30,53899 72 Metros Chajarí 39 NO PRIVADO NOCONTROL RACE SARR CIVIL Nacional NO NO ENTRE RÍOS NO"
"CHJ Aeródromo CHAJARI 30°45'14""S  58° 0' 0""W -58,00002 -30,7539 53 Metros Chajarí 1,5 O PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO ENTRE RÍOS NO"
"CHM SAHC HOS Aeródromo CHOS MALAL 37°26'39""S  70°13'23""W -70,22305556 -37,44416667 850 Metros Chos Malal 10 S PUBLICO NOCONTROL RACE SAMF CIVIL Nacional NO NO NEUQUÉN NO"
"CHO Aeródromo CHOLILA 42°28'50""S  71°27'25""W -71,45682 -42,4806 574 Metros Cholila 4 NO PRIVADO NOCONTROL RASU SAVF CIVIL Nacional NO NO CHUBUT NO"
"CHP SAZY CPC Aeródromo SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS 40° 4'31""S  71° 8'14""W -71,13722222 -40,07527778 783 Metros San Martín de los Andes 20 ENE PUBLICO CONTROL RACE SAEF CIVIL Nacional SI SI NEUQUÉN NO"
"CHR Aeródromo CHACHARRAMENDI 37°20'24""S  65°38'49""W -65,64701 -37,34005 290 Metros Chacharramendi 0,5 SE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO LA PAMPA NO"
"CHT Aeródromo CHARATA/EL GRINGO 27°18'23""S  61°12'37""W -61,21041 -27,30629 92 Metros Charata 10 S PRIVADO NOCONTROL RANE SARR CIVIL Nacional NO NO CHACO NO"
"CHY Aeródromo CHIVILCOY 34°57'45""S  60° 1'56""W -60,03222222 -34,9625 53 Metros Chivilcoy 7 S PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CIF Aeródromo ARRECIFES/AEROCLUB 34° 4'43""S  60° 2'46""W -60,04602 -34,07849 43 Metros Arrecifes 4,5 ESE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CII Aeródromo CORRIENTES/ITA IBATE 27°26'54""S  57°25'20""W -57,42222222 -27,44833333 68 Metros Ita Ibate 8 OSO PRIVADO NOCONTROL RANE SARR CIVIL Nacional NO NO CORRIENTES NO"
"CIP Aeródromo CIPOLLETTI/AEROCLUB 38°53'34""S  67°59'20""W -67,98888889 -38,89277778 270 Metros Cipolletti 5,5 N PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO RÍO NEGRO NO"
"CIT Aeródromo CORRIENTES/ITATI 27°18'12""S  58°18'55""W -58,31527778 -27,30333333 60 Metros Itatí 8 OSO PRIVADO NOCONTROL RANE SARR AEROAPP Nacional NO NO CORRIENTES NO"
"CLD Aeródromo CHAÑAR LADEADO 33°20'21""S  62° 2'13""W -62,03693 -33,3391 112 Metros Chañar Ladeado 0 Lindando PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO SANTA FÉ NO"
"CLE Aeródromo CORRALITO/LOMAS DEL ESPINILLO 32° 5'17""S  64°10'11""W -64,16972222 -32,08805556 439,5 Metros Río Tercero 9 NNO PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO CÓRDOBA NO"
"CLH SAVH LHS Aeródromo LAS HERAS 46°32'19""S  68°57'57""W -68,96583 -46,53848 330 Metros Las Heras 2 O PUBLICO NOCONTROL RASU SAVF CIVIL Nacional NO NO SANTA CRUZ NO"
"CLI Aeródromo CALILEGUA 23°46'54""S  64°44'59""W -64,74972222 -23,78166667 442 Metros Calilegua 1,7 E PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO JUJUY NO"
"CLN Aeródromo COLÓN 32°15'39""S  58° 9'22""W -58,15611111 -32,26083333 20 Metros Colón 5 S PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO ENTRE RÍOS NO"
"CLT CCT Aeródromo COLONIA CATRIEL 37°54'29""S  67°49'44""W -67,82881 -37,90819 313 Metros Catriel 4 SSO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO RÍO NEGRO NO"
"CNA Aeródromo CAÑUELAS 35° 6'42""S  58°43'35""W -58,72638889 -35,11166667 30 Metros Cañuelas 5 SE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CNO Aeródromo CARMEN DE ARECO 34°25' 5""S  59°52'28""W -59,87444444 -34,41805556 49 Metros Carmen de Areco 5 SO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CNS Aeródromo CANALS 33°33'45""S  62°52' 9""W -62,86911 -33,56247 116 Metros Canals 0,5 E PRIVADO NOCONTROL RANO SAEF CIVIL Nacional NO NO CÓRDOBA NO"
"COA Aeródromo ARIAS 33°39'52""S  62°22'30""W -62,37505556 -33,66431111 121,5 Metros Arias 3 SE PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO CÓRDOBA NO"
"COL SAZQ Aeródromo RÍO COLORADO 38°59'42""S  64° 8'25""W -64,14027778 -38,995 84 Metros Río Colorado 5 NO PRIVADO NOCONTROL RACE SAEF Nacional NO NO RÍO NEGRO NO"
"CON Aeródromo COLÓN 33°55'21""S  61° 2'47""W -61,04638889 -33,9225 90 Metros Colón 5 SE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
